jobNumber,job_title,job_location,job_description,original_link,job_company,job_money_unchanged,job_money,salary_description,range_lower,range_upper,original_link_emails,original_link_telephones,image_src_linkimage_link,job_date,original_plain_text,original_html
13,Retail Manager,Toowoomba City QLD,"
As a retail manager, you would be responsible for the day-to-day running of a retail store. The main focus of the work would be to improve the commercial...",https://jobsearch.gov.au/Job/View/Details/2275183312?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Nothing,,,,,,ajsfeedback@cc.employment.gov.au,,,Just posted,,
9,Cook / Kitchen Hand,Mount Magnet WA,"
Cooking, prep work and other kitchen duties Salary: Hourly Rate Work Type: Part time position Tenancy: Contract position Hours: 44 Number of Positions...",https://jobsearch.gov.au/Job/View/Details/2275182240?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Nothing,,,,,,ajsfeedback@cc.employment.gov.au,,,Just posted,,
31,Cafe Assistant,Harristown QLD,"
Applicant must be well presented, honest and reliable, with excellent customer service skills and be able to show attention to detail....",https://jobsearch.gov.au/Job/View/Details/2275182213?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Nothing,,,,,,ajsfeedback@cc.employment.gov.au,,,Just posted,,
10,Part Time Store Person,Cheltenham SA,"
Chemist Warehouse provides a friendly culture in a fast paced working environment with opportunities to further your Retail Pharmacy career....",https://erecruit1.mercury.com.au/MyChemistRetailGroup/ViewPosition.aspx?id=9tUy+0ww1eI=&jbc=ere,"
    My Chemist Retail Group",,,,,,,,,Just posted,,
8,Barista/wait staff wanted,Armadale VIC,"
Our cafe is now taking applications for a new staff member to join our team. Monday to Friday position 9am-2pm....",https://jobsearch.gov.au/Job/View/Details/2275183277?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Nothing,"$60,001 - $80,000 a year","$60,001 - $80,000",a year,"$60,001","$80,000",ajsfeedback@cc.employment.gov.au,,,Just posted,,
2,2x FRMC Sales ConsultantsNZ Warriors,Australia,"
Retail sales experience; The New Zealand Warriors and be directly responsible for generating sales for. Aims to be a landmark program for the NRL....",http://www.rugbyleague.com.au/hr/careers_profile.php?id=1208,"
    NRL",$28.21 - $31.73 an hour,$28.21 - $31.73,an hour,$28.21,$31.73,,,,Just posted,,
69,Retail Assistant,Rozelle NSW,"
Strong understanding of retail business needs and focus on achievement of results • Strong customer focus and a belief in giving exceptional service • Computer...",https://jobsearch.gov.au/Job/View/Details/2275183283?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Nothing,,,,,,ajsfeedback@cc.employment.gov.au,,,Just posted,,
1,Retail Sales Consultant,Australia,"
Retail Sales Consultant. Working in a professional Retail environment you will enjoy the variety within this role;...",https://racv.nga.net.au/bin/fnt_job_relocate.cfm?JobID=7803&process=start&audienceID=121,"
    RACV","$57,508 a year","$57,508",a year,,,,,,Just posted,,
3,Guest Experience / Front Office,Sunshine Coast QLD,"
As our Guest Experience Creator you will be the face of Spicers Tamarind Retreat - handling enquiries and reservations, greeting guests on arrival, explaining &...",http://www.spicersgroup.applynow.com.au/jobs/Spicers244-guest-experience-front-office,"
    Spicers Retreat","$62,304 - $65,835 a year","$62,304 - $65,835",a year,"$62,304","$65,835",,,,Just posted,,
66,Cafe All Rounder,Sydney NSW,"
p/t- 11am-2pm monday - friday -cash handling -Food prep -Waitressing Salary: Not Specified Work Type: Part time position Tenancy: Permanent position",https://jobsearch.gov.au/Job/View/Details/2275183280?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Nothing,,,,,,ajsfeedback@cc.employment.gov.au,,,Just posted,,
6,Brand Ambassador- Essendon,Victoria,"
Blueprint Group works in partnership with a range of market leading companies in consumer goods, services & retail....",https://myworld.worldmanager.com/careers/position.php?id=570&source=external&back=index,"
    Powerforce","$60,551 - $73,521 a year","$60,551 - $73,521",a year,"$60,551","$73,521",,,,Just posted,,
5,Wheatstone - Sheet Metal Workers - May/June Start,Western Australia,"
Please ensure your application includes your up-to-date CV, trade qualifications and relevant copies of your tickets and licenses....","https://capeplccareers.nga.net.au/cp/index.cfm?event=jobs.checkJobDetailsNewApplication&returnToEvent=jobs.listJobs&jobid=16FE5946-956E-460E-8DD0-A5DA00BDBD9F&CurATC=EXT&CurBID=62AFB35D%2D9273%2D4A11%2D8DCC%2D9DB401354197&JobListID=22FC4F47%2DE994%2D46A3%2DB8C9%2D9BC901269F43&jobsListKey=8d57776c%2Dbc33%2D400e%2Db9a3%2D87fac555fd41&persistVariables=CurATC,CurBID,JobListID,jobsListKey&lid=46854240008","
    Cape PLC","$45,000 - $55,000 a year","$45,000 - $55,000",a year,"$45,000","$55,000",,,,Just posted,,
30,Wait Staff,Ryde NSW,"
Have a minimum 2 years experience in a similar fast paced environment. Hold a valid working visa with a minimum 6 months remaining and an RSA....",https://jobsearch.gov.au/Job/View/Details/2275183314?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,Nothing,,,,,,ajsfeedback@cc.employment.gov.au,,,Just posted,,
